Date,Price,Open,High,Low,Vol.,Change %
5/5/2016,93.873,93.36,93.935,93.275,0.69K,0.63%
5/4/2016,93.285,93.055,93.45,92.96,0.65K,0.28%
5/3/2016,93.029,92.565,93.08,92,1.08K,0.34%
5/2/2016,92.713,93,93.09,92.52,0.49K,-0.47%
4/29/2016,93.147,93.78,93.78,93.065,0.77K,-0.71%
4/28/2016,93.817,94.515,94.615,93.78,0.55K,-0.67%
4/27/2016,94.447,94.505,94.975,94.2,0.23K,-0.18%
4/26/2016,94.618,94.83,94.86,94.275,0.78K,-0.30%
4/25/2016,94.899,95.18,95.18,94.77,0.35K,-0.30%
4/22/2016,95.18,94.61,95.25,94.595,0.21K,0.53%
4/21/2016,94.674,94.62,94.76,93.975,0.58K,0.10%
4/20/2016,94.579,94.195,94.665,94.02,0.14K,0.55%
4/19/2016,94.062,94.61,94.62,94.015,0.36K,-0.54%
4/18/2016,94.573,94.765,94.895,94.485,0.16K,-0.24%
4/15/2016,94.799,95.055,95.15,94.6,0.20K,-0.23%
4/14/2016,95.018,95.015,95.27,94.815,0.43K,0.17%
4/13/2016,94.855,94.155,94.92,94.11,0.41K,0.85%
4/12/2016,94.06,93.98,94.385,93.62,0.29K,0.01%
4/11/2016,94.05,94.31,94.435,93.88,0.27K,-0.33%
4/8/2016,94.36,94.745,94.77,94.24,0.22K,-0.25%
4/7/2016,94.597,94.52,94.765,94.15,0.39K,0.08%
4/6/2016,94.524,94.715,95.11,94.36,0.32K,-0.20%
4/5/2016,94.712,94.565,95.055,94.565,0.18K,0.13%
4/4/2016,94.589,94.68,94.895,94.5,0.04K,-0.10%
4/1/2016,94.688,94.67,95.135,94.47,0.23K,0.03%
3/31/2016,94.661,94.86,95.09,94.45,0.23K,-0.26%
3/30/2016,94.904,95.275,95.285,94.68,0.24K,-0.33%
3/29/2016,95.216,96.1,96.2,95.165,0.31K,-0.83%
3/28/2016,96.01,96.445,96.445,95.955,0.25K,-0.22%
3/24/2016,96.226,96.13,96.41,96.13,0.18K,0.11%
3/23/2016,96.117,95.705,96.2,95.705,0.11K,0.44%
3/22/2016,95.694,95.475,95.76,95.34,0.13K,0.37%
3/21/2016,95.339,95.13,95.43,95.08,0.13K,0.18%
3/18/2016,95.165,94.76,95.185,94.655,0.30K,0.33%
3/17/2016,94.851,95.865,95.89,94.75,0.19K,-1.18%
3/16/2016,95.98,96.9,97.1,95.735,0.09K,-0.77%
3/15/2016,96.723,96.71,96.89,96.61,0.04K,0.06%
3/14/2016,96.665,96.31,96.74,96.135,15.15K,0.46%
3/11/2016,96.227,96.24,96.76,95.975,34.80K,0.11%
3/10/2016,96.12,97.35,98.5,95.985,71.17K,-1.13%
3/9/2016,97.219,97.32,97.63,96.98,19.89K,-0.05%
3/8/2016,97.266,97.145,97.335,96.945,6.45K,0.13%
3/7/2016,97.144,97.415,97.785,97.11,5.16K,-0.30%
3/4/2016,97.438,97.735,98.14,97.13,3.61K,-0.25%
3/3/2016,97.686,98.335,98.44,97.56,1.90K,-0.65%
3/2/2016,98.325,98.44,98.7,98.255,0.97K,-0.15%
3/1/2016,98.475,98.335,98.7,98.24,1.18K,0.14%
2/29/2016,98.334,98.345,98.49,97.94,2.15K,0.04%
2/26/2016,98.293,97.47,98.385,97.27,1.38K,0.91%
2/25/2016,97.41,97.65,97.85,97.365,1.32K,-0.19%
2/24/2016,97.594,97.59,98.035,97.375,1.98K,-0.01%
2/23/2016,97.605,97.43,97.68,97.335,0.72K,0.10%
2/22/2016,97.508,96.8,97.72,96.8,0.45K,0.81%
2/19/2016,96.724,96.88,97.29,96.71,1.24K,-0.36%
2/18/2016,97.07,96.925,97.195,96.81,0.38K,0.17%
2/17/2016,96.903,97.07,97.205,96.805,0.28K,-0.08%
2/16/2016,96.98,96.77,97.1,96.5,0.39K,0.93%
2/15/2016,96.087,96.25,97,96.18,0.37K,0.00%
2/12/2016,96.087,95.79,96.36,95.68,0.59K,0.39%
2/11/2016,95.714,95.715,95.99,95.405,0.53K,-0.32%
2/10/2016,96.026,96.04,96.83,95.9,0.48K,-0.17%
2/9/2016,96.189,96.67,96.91,95.82,0.46K,-0.50%
2/8/2016,96.676,97.15,97.575,96.675,0.78K,-0.49%
2/5/2016,97.149,96.685,97.4,96.255,1.03K,0.58%
2/4/2016,96.59,97.3,97.555,96.405,0.73K,-0.84%
2/3/2016,97.406,98.93,99,96.99,1.11K,-1.60%
2/2/2016,98.991,99.065,99.19,98.9,0.19K,-0.14%
2/1/2016,99.128,99.8,99.8,99.07,0.34K,-0.61%
1/29/2016,99.737,98.735,99.955,98.72,1.11K,1.11%
1/28/2016,98.644,99.16,99.235,98.555,0.37K,-0.41%
1/27/2016,99.049,99.28,99.285,98.865,0.37K,-0.18%
1/26/2016,99.23,99.415,99.575,99.18,0.22K,-0.28%
1/25/2016,99.506,99.725,99.725,99.395,0.30K,-0.24%
1/22/2016,99.746,99.39,99.75,99.315,0.65K,0.53%
1/21/2016,99.223,99.39,99.985,99.09,0.66K,-0.05%
1/20/2016,99.269,99.145,99.35,98.8,0.12K,0.14%
1/19/2016,99.131,99.35,99.48,99.055,0.12K,0.02%
1/18/2016,99.115,99.08,99.34,99.045,0.13K,0.00%
1/15/2016,99.115,99.205,99.29,98.545,0.41K,-0.13%
1/14/2016,99.248,99,99.395,98.745,0.57K,0.18%
1/13/2016,99.068,99.325,99.485,98.99,0.21K,-0.05%
1/12/2016,99.122,99.125,99.42,98.755,0.17K,0.24%
1/11/2016,98.882,98.405,99.035,98.25,0.08K,0.20%
1/8/2016,98.689,98.5,99.365,98.5,0.19K,0.33%
1/7/2016,98.365,99.465,99.48,98.36,0.24K,-1.01%
1/6/2016,99.364,99.6,99.81,99.285,0.13K,-0.24%
1/5/2016,99.599,98.975,99.835,98.975,0.31K,0.54%
1/4/2016,99.066,98.92,99.36,98.24,0.18K,0.23%
12/31/2015,98.84,98.425,98.885,98.405,0.36K,0.40%
12/30/2015,98.449,98.41,98.55,98.305,0.13K,0.19%
12/29/2015,98.258,98.04,98.51,97.95,0.17K,0.22%
12/28/2015,98.04,98.02,98.12,97.955,0.05K,-0.07%
12/24/2015,98.111,98.43,98.43,98.02,0.06K,-0.35%
12/23/2015,98.457,98.37,98.715,98.37,0.05K,0.13%
12/22/2015,98.334,98.56,98.585,98.095,0.15K,-0.13%
12/21/2015,98.459,98.805,98.865,98.405,0.08K,-0.37%
12/18/2015,98.826,99.15,99.375,98.815,0.13K,-0.58%
12/17/2015,99.405,98.89,99.4,98.75,0.15K,1.46%
12/16/2015,97.979,98.3,98.8,97.865,0.18K,-0.41%
12/15/2015,98.386,97.74,98.39,97.335,0.12K,0.75%
12/14/2015,97.653,97.77,97.99,97.31,25.96K,0.05%
12/11/2015,97.606,98.05,98.155,97.375,40.13K,-0.45%
12/10/2015,98.044,97.45,98.07,97.45,46.97K,0.63%
12/9/2015,97.426,98.615,98.63,97.305,30.21K,-1.17%
12/8/2015,98.583,98.86,98.885,98.47,12.65K,-0.20%
12/7/2015,98.784,98.455,99.02,98.38,12.70K,0.34%
12/4/2015,98.453,98.11,98.74,97.66,9.79K,0.72%
12/3/2015,97.754,100.19,100.7,97.705,24.34K,-2.39%
12/2/2015,100.145,99.98,100.65,99.96,6.07K,0.19%
12/1/2015,99.955,100.36,100.37,99.89,3.69K,-0.37%
11/30/2015,100.33,100.275,100.475,100.23,2.62K,0.12%
11/27/2015,100.211,100.075,100.405,99.845,2.55K,0.25%
11/26/2015,99.96,99.925,100.08,99.905,1.01K,0.00%
11/25/2015,99.96,99.76,100.36,99.5,1.01K,0.24%
11/24/2015,99.718,99.95,99.985,99.665,2.67K,-0.28%
11/23/2015,100,99.84,100.205,99.76,1.92K,0.23%
11/20/2015,99.772,99.35,99.855,99.22,2.45K,0.55%
11/19/2015,99.222,99.66,99.69,98.98,2.61K,-0.71%
11/18/2015,99.928,99.925,100.1,99.575,1.53K,0.04%
11/17/2015,99.89,99.69,100.02,99.69,1.27K,0.16%
11/16/2015,99.731,99.29,99.73,99.185,1.48K,0.44%
11/13/2015,99.29,98.86,99.5,98.815,1.53K,0.39%
11/12/2015,98.905,99.085,99.585,98.69,1.44K,-0.45%
11/11/2015,99.353,99.38,99.495,99.075,0.84K,-0.23%
11/10/2015,99.585,99.285,99.79,99.26,0.83K,0.32%
11/9/2015,99.269,99.59,99.645,99.135,0.98K,-0.19%
11/6/2015,99.457,98.25,99.65,98.2,1.32K,1.23%
11/5/2015,98.248,98.205,98.44,98.08,0.56K,0.01%
11/4/2015,98.237,97.58,98.345,97.53,0.93K,0.80%
11/3/2015,97.458,97.21,97.76,97.075,0.51K,0.25%
11/2/2015,97.213,97.055,97.215,96.93,0.20K,-0.02%
10/30/2015,97.237,97.5,97.625,96.875,1.31K,-0.35%
10/29/2015,97.577,97.935,98.01,97.575,0.33K,-0.51%
10/28/2015,98.074,97.26,98.075,96.755,0.73K,0.90%
10/27/2015,97.195,97.085,97.24,96.855,0.22K,0.04%
10/26/2015,97.158,97.46,97.46,97,0.32K,-0.30%
10/23/2015,97.448,96.81,97.51,96.43,0.61K,0.82%
10/22/2015,96.659,95.23,96.65,95.205,0.61K,1.45%
10/21/2015,95.278,95.075,95.23,94.97,0.19K,0.13%
10/20/2015,95.152,95.16,95.17,94.85,0.09K,-0.02%
10/19/2015,95.167,94.85,95.245,94.81,0.26K,0.39%
10/16/2015,94.801,94.835,94.965,94.685,0.17K,0.18%
10/15/2015,94.635,94.21,94.81,94.05,0.46K,0.50%
10/14/2015,94.167,94.98,94.98,94.065,0.34K,-0.87%
10/13/2015,94.993,95.12,95.24,94.785,0.19K,0.02%
10/12/2015,94.97,95.035,95.115,94.88,0.54K,-0.12%
10/9/2015,95.086,95.55,95.56,94.955,0.16K,-0.55%
10/8/2015,95.615,95.77,95.88,95.27,0.26K,-0.18%
10/7/2015,95.79,95.835,96.01,95.65,0.39K,0.02%
10/6/2015,95.771,96.385,96.49,95.74,0.24K,-0.70%
10/5/2015,96.447,96.035,96.485,95.845,0.24K,0.29%
10/2/2015,96.165,96.47,96.7,95.505,0.29K,-0.37%
10/1/2015,96.526,96.65,96.75,96.29,0.05K,-0.16%
9/30/2015,96.685,96.235,96.85,96.235,0.16K,0.52%
9/29/2015,96.186,96.23,96.55,96.06,0.14K,-0.20%
9/28/2015,96.382,96.58,96.835,96.3,0.18K,-0.25%
9/25/2015,96.622,96.58,97.03,96.52,0.13K,0.30%
9/24/2015,96.337,96.445,96.49,95.77,0.12K,-0.06%
9/23/2015,96.394,96.75,96.875,96.45,0.08K,-0.24%
9/22/2015,96.629,96.25,96.755,96.125,0.08K,0.44%
9/21/2015,96.204,95.6,96.295,95.395,0.12K,1.08%
9/18/2015,95.174,94.89,95.54,94.395,0.11K,0.33%
9/17/2015,94.862,95.565,95.705,94.69,0.14K,-0.94%
9/16/2015,95.761,95.985,96.175,95.575,0.03K,-0.25%
9/15/2015,96.005,95.75,95.99,95.6,0.02K,0.62%
9/14/2015,95.412,95.29,95.625,95.065,20.24K,0.03%
9/11/2015,95.379,95.685,95.87,95.29,49.30K,-0.26%
9/10/2015,95.632,96.095,96.43,95.575,56.60K,-0.61%
9/9/2015,96.215,96.14,96.64,96.12,35.86K,-0.02%
9/8/2015,96.233,96.49,96.53,96.04,10.77K,-0.30%
9/7/2015,96.525,96.55,96.73,96.36,4.38K,0.00%
